"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.424386625E0,3.981121216E0,8.254434814E0,2.277064819E0
2.434152625E0,3.089425507E0,8.547076263E0,1.727856903E0
2.443948625E0,1.902693329E0,8.925339661E0,1.562750244E0
2.453712625E0,7.450007629E-1,9.178463287E0,2.007475433E0
2.463478625E0,1.785786438E-1,9.421707458E0,2.341580658E0
2.473275625E0,1.969903564E-1,9.507928162E0,2.115401001E0
2.483042625E0,3.899391174E-1,9.388476562E0,2.040706329E0
2.492806625E0,5.303471375E-1,9.290879517E0,1.823507996E0
2.502602625E0,3.646417236E-1,9.057814178E0,1.806892548E0
2.512368625E0,4.161346436E-2,8.781339111E0,1.784588928E0
2.522165625E0,1.676513672E-1,8.554261322E0,1.547931061E0
2.531931625E0,4.640350342E-1,8.316405945E0,1.381028137E0
2.541695625E0,4.120930481E-1,8.162525940E0,1.154998169E0
2.551492625E0,-5.583389282E-2,8.093669128E0,1.081650696E0
2.561258625E0,-8.187973022E-1,7.577392731E0,1.175505524E0
2.571053625E0,-1.477277985E0,6.871610413E0,1.264720001E0
2.580819625E0,-1.480870514E0,6.613846436E0,1.295106812E0
2.590585625E0,-1.409918060E0,6.526877289E0,1.457369385E0
2.600381625E0,-1.570084991E0,6.529871063E0,1.642534332E0
2.610146625E0,-2.296374664E0,6.576124878E0,1.325493622E0
2.619925625E0,-3.327729950E0,6.841073914E0,1.221010895E0
2.629708625E0,-3.806584167E0,6.873855743E0,1.456022186E0
2.639483625E0,-4.443359985E0,7.044650574E0,2.016007690E0
2.649263625E0,-4.838238831E0,7.441924438E0,2.640059967E0
2.659041625E0,-5.161716156E0,7.940238190E0,3.087629242E0
2.668820625E0,-5.569617920E0,8.182733917E0,3.216211853E0
2.678579625E0,-5.921386414E0,8.369994507E0,3.056344299E0
2.688350625E0,-6.219117279E0,8.550070038E0,2.764600983E0
2.698154625E0,-6.498436432E0,8.858129425E0,2.317780151E0
2.707925625E0,-6.481820984E0,9.324409790E0,2.012265472E0
2.717708625E0,-5.802832947E0,9.952803040E0,2.028731232E0
2.727485625E0,-4.617747345E0,1.068567902E1,1.920356598E0
2.737247625E0,-3.657643890E0,1.081935104E1,1.714235229E0
2.747023625E0,-2.873873749E0,1.050171158E1,1.362766113E0
2.756808625E0,-2.553988953E0,1.031340317E1,1.298998718E0
2.766579625E0,-2.620450745E0,1.004905289E1,1.510658569E0
2.776345625E0,-2.607577515E0,9.650731201E0,1.899250488E0
2.786141625E0,-2.537074127E0,9.294921112E0,2.382445679E0
2.795908625E0,-2.461331635E0,8.924740906E0,2.956352234E0
2.805692625E0,-2.280807037E0,8.612041168E0,3.355272675E0
2.815469625E0,-2.078427887E0,8.362061005E0,3.449875946E0
2.825234625E0,-1.802551575E0,8.117769012E0,3.548670502E0
2.835000625E0,-1.614243164E0,7.851921844E0,3.132086792E0
2.844797625E0,-1.689686279E0,7.588918762E0,2.450703735E0
2.854572625E0,-1.811981964E0,7.306905212E0,1.882335663E0
2.864357625E0,-2.207160187E0,7.458988953E0,1.465901642E0
2.874123625E0,-2.625091095E0,8.123906250E0,1.432371368E0
2.883889625E0,-2.945424957E0,9.148525543E0,1.612596588E0
2.893686625E0,-3.389252014E0,1.008916946E1,1.952090607E0
2.903451625E0,-3.270399170E0,1.063688049E1,2.293380890E0
2.913216625E0,-2.648292847E0,1.087862778E1,2.333946533E0
2.923012625E0,-2.155667267E0,1.101813766E1,2.379152527E0
2.932778625E0,-1.672621765E0,1.071651489E1,2.257006531E0
2.942574625E0,-1.502874756E0,1.058987823E1,2.175575867E0
2.952340625E0,-1.713935852E0,1.017089951E1,2.222278748E0
2.962106625E0,-1.492546234E0,9.626631317E0,2.265239410E0
2.971902625E0,-7.967930603E-1,9.024134216E0,2.188598785E0
