"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.458678625E0,2.573943436E-1,5.937097222E-2,-1.778443694E0
2.469359625E0,2.654716969E-1,3.180113062E-2,-1.704317808E0
2.480056625E0,2.538282573E-1,4.907316715E-2,-1.659133673E0
2.490721625E0,2.271502912E-1,1.087463573E-1,-1.652682900E0
2.501402625E0,2.098312825E-1,1.746431291E-1,-1.654848099E0
2.512083625E0,2.257005721E-1,1.258194298E-1,-1.662384033E0
2.522765625E0,2.348278165E-1,1.084018648E-1,-1.723364115E0
2.533446625E0,2.229932547E-1,1.518220454E-1,-1.801081300E0
2.544127625E0,2.020424306E-1,2.126680762E-1,-1.816601396E0
2.554808625E0,1.814865470E-1,2.639323175E-1,-1.799273610E0
2.565490625E0,1.852653176E-1,2.567436397E-1,-1.783500433E0
2.576171625E0,1.840266585E-1,2.628608644E-1,-1.782262444E0
2.586866625E0,2.021297663E-1,3.279503882E-1,-1.807944894E0
2.597536625E0,2.231059670E-1,3.625790179E-1,-1.813003421E0
2.608214625E0,1.991026700E-1,3.455877900E-1,-1.728774309E0
2.618895625E0,1.342363656E-1,3.519133627E-1,-1.540607691E0
2.629576625E0,3.605018929E-2,3.835797310E-1,-1.331351995E0
2.640257625E0,-6.527132541E-2,3.982202113E-1,-1.094087005E0
2.650938625E0,-1.186527908E-1,3.695065379E-1,-8.574014306E-1
2.661620625E0,-1.262686253E-1,2.864361405E-1,-6.115472317E-1
2.672301625E0,-1.210767999E-1,2.293222845E-1,-3.645859361E-1
2.682982625E0,-1.205279231E-1,1.746819466E-1,-1.029644310E-1
2.693663625E0,-1.143445969E-1,1.421402395E-1,1.501011252E-1
2.704356625E0,-7.401847094E-2,1.769868433E-1,3.152341843E-1
2.715046625E0,-3.637703881E-2,2.539088428E-1,3.623811603E-1
2.725706625E0,-4.760093242E-2,3.290235698E-1,2.567000091E-1
2.736412625E0,-9.359984845E-2,3.662697375E-1,7.102308422E-2
2.747094625E0,-1.379449517E-1,3.470755219E-1,-1.269110441E-1
2.757775625E0,-1.839047223E-1,2.675434351E-1,-1.776210964E-1
2.768454625E0,-2.136682123E-1,1.094370708E-1,-1.020170823E-1
2.779112625E0,-2.597219646E-1,-1.243820637E-1,5.644418672E-2
2.789793625E0,-2.694698870E-1,-3.271074593E-1,1.938507408E-1
2.800475625E0,-2.442132086E-1,-4.951392710E-1,3.017009795E-1
2.811186625E0,-1.758237630E-1,-5.803143382E-1,4.140437841E-1
2.821839625E0,-6.523067504E-2,-6.046875715E-1,5.345145464E-1
2.832540625E0,3.562536463E-2,-6.133394241E-1,6.465910077E-1
2.843217625E0,1.240625605E-1,-5.546683669E-1,7.747076750E-1
2.853911625E0,1.646507233E-1,-4.164013267E-1,8.231124878E-1
2.864591625E0,1.812201142E-1,-2.441435307E-1,8.803424835E-1
2.875273625E0,1.756432503E-1,-9.417003393E-2,9.584815502E-1
2.885954625E0,1.640238911E-1,1.037941948E-1,1.079345584E0
2.896635625E0,1.959209144E-1,2.351075262E-1,1.209388494E0
2.907317625E0,2.475130558E-1,2.486915588E-1,1.283084273E0
2.917998625E0,3.141171336E-1,1.865110397E-1,1.355307341E0
2.928679625E0,3.882675171E-1,1.731589064E-2,1.353072166E0
2.939351625E0,4.282964468E-1,-1.373815387E-1,1.402351260E0
2.950022625E0,4.872233868E-1,-2.078626305E-1,1.535507679E0
2.960697625E0,5.884533525E-1,-3.079820275E-1,1.716850042E0
2.971404625E0,6.799798012E-1,-4.182907045E-1,1.864206195E0
2.982085625E0,7.249550223E-1,-5.480612516E-1,1.963364840E0
2.992766625E0,7.101268768E-1,-6.667737365E-1,2.027896643E0
3.003447625E0,6.043852568E-1,-6.339575052E-1,2.059529305E0
3.014128625E0,4.359646142E-1,-5.271564126E-1,1.941010714E0
3.024809625E0,2.626293600E-1,-4.053801596E-1,1.689891934E0
3.035489625E0,4.255106207E-3,-1.990751624E-1,1.454416156E0
3.046172625E0,-3.261265457E-1,3.230932727E-2,1.295228124E0
3.056830625E0,-7.451089025E-1,7.908935100E-2,1.241472721E0
3.067534625E0,-1.140297174E0,-1.521877665E-2,1.295615792E0
3.078219625E0,-1.378869057E0,-1.457136720E-1,1.424673438E0
3.088874625E0,-1.468726397E0,-1.954127848E-1,1.543669581E0
3.099577625E0,-1.482792497E0,-1.918009967E-1,1.568172216E0
3.110258625E0,-1.441656232E0,-1.083402038E-1,1.483833432E0
3.120940625E0,-1.322229624E0,-1.713304035E-2,1.267187119E0
3.131621625E0,-1.134838939E0,-2.341644838E-2,9.705599546E-1
3.142302625E0,-9.329539537E-1,-1.667298973E-1,6.772614121E-1
3.152983625E0,-7.540744543E-1,-3.580348492E-1,4.121541083E-1
3.163646625E0,-6.176633239E-1,-5.238882303E-1,2.071862966E-1
3.174343625E0,-4.308028519E-1,-5.955083370E-1,4.072486982E-2
3.185027625E0,-2.713676691E-1,-5.536780953E-1,-1.411226839E-1
3.195707625E0,-1.554285437E-1,-4.998803735E-1,-2.604011595E-1
3.206389625E0,-6.130445004E-2,-3.899517357E-1,-3.647664487E-1
3.217070625E0,9.391894192E-2,-2.004644424E-1,-4.514522851E-1
3.227751625E0,2.193392217E-1,-1.668490469E-3,-5.402330756E-1
3.238432625E0,3.316327929E-1,9.152993560E-2,-6.241264343E-1
