"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.124062946E1,-3.707639923E0,6.023324432E0,6.847660217E0
5.125039446E1,-3.692371674E0,6.131998444E0,6.682104492E0
5.126016046E1,-3.661984863E0,6.197861481E0,6.549929352E0
5.126995646E1,-3.695215759E0,6.254294128E0,6.393953705E0
5.127972346E1,-3.806284790E0,6.370602264E0,6.358776855E0
5.128948746E1,-3.841311951E0,6.475534058E0,6.179449768E0
5.129926646E1,-3.939657440E0,6.510261841E0,6.040538635E0
5.130904946E1,-4.196672974E0,6.562054138E0,5.983956299E0
5.131881546E1,-4.315376129E0,6.722520447E0,5.888903961E0
5.132858046E1,-4.308041382E0,6.742429047E0,5.829926605E0
5.133837646E1,-4.245770874E0,6.771917725E0,5.849835205E0
5.134814246E1,-4.198169861E0,6.712640991E0,5.629343719E0
5.135790846E1,-4.259991302E0,6.629713440E0,5.489983521E0
5.136770446E1,-4.645589447E0,6.566095734E0,5.122647400E0
5.137746946E1,-5.216502228E0,6.577921143E0,4.481979675E0
5.138723546E1,-5.359454956E0,6.629264374E0,4.538262634E0
5.139700146E1,-5.067112885E0,6.580016785E0,5.274731140E0
5.140679746E1,-4.761149139E0,6.414161682E0,5.878575439E0
5.141656246E1,-4.541256409E0,6.291267242E0,5.905818787E0
5.142635346E1,-4.683460693E0,6.182144165E0,5.814209290E0
5.143612446E1,-4.950205994E0,6.292764130E0,5.780679016E0
5.144587246E1,-4.943320312E0,6.425238647E0,5.870192871E0
5.145566946E1,-4.932093658E0,6.348298645E0,6.095624084E0
5.146543446E1,-5.012775879E0,6.232439575E0,6.286626892E0
5.147520146E1,-5.065166931E0,6.163732452E0,6.376440125E0
5.148497346E1,-4.959486694E0,6.109096069E0,6.319109344E0
5.149476246E1,-4.856949921E0,6.120921478E0,6.174659729E0
5.150452846E1,-4.709356842E0,6.116879883E0,5.917494507E0
5.151430546E1,-4.607269135E0,6.074817352E0,5.616769867E0
5.152407046E1,-4.543950806E0,6.043382721E0,5.496869202E0
5.153383646E1,-4.575535126E0,5.891748047E0,5.506149902E0
5.154362546E1,-4.596491547E0,5.661377106E0,5.774092712E0
5.155339646E1,-4.475842438E0,5.467380524E0,6.256689148E0
5.156318246E1,-4.275409241E0,5.321733398E0,6.703060913E0
5.157295846E1,-4.129762115E0,5.205874329E0,7.148684235E0
5.158272946E1,-3.983067169E0,5.180726624E0,7.563471680E0
5.159249546E1,-3.783083038E0,5.265600128E0,7.955057373E0
5.160227646E1,-3.588936768E0,5.272336121E0,8.260721741E0
