"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.918517292E0,1.302736551E-1,-4.351605847E-2,1.270361543E-1
3.929196292E0,1.465183944E-1,-7.847031951E-2,1.767198294E-1
3.939859292E0,1.301090717E-1,-1.802091897E-1,2.169460803E-1
3.950535292E0,6.697404385E-2,-2.595500946E-1,2.370215207E-1
3.961221292E0,-5.882303044E-2,-2.664849460E-1,2.383983731E-1
3.971903292E0,-1.609792262E-1,-2.941107154E-1,2.041921914E-1
3.982584292E0,-2.474986315E-1,-2.444042265E-1,1.479967237E-1
3.993265292E0,-3.210769594E-1,-5.589419976E-2,1.039959714E-1
4.003946292E0,-3.849966824E-1,1.353608072E-1,8.058410138E-2
4.014627292E0,-4.078116417E-1,2.463129759E-1,4.688657448E-2
4.025308292E0,-3.892203271E-1,2.636046410E-1,2.114178799E-2
4.035989292E0,-3.370788097E-1,2.717853189E-1,1.814306900E-2
4.046651292E0,-2.570649385E-1,2.400782704E-1,3.183038533E-2
4.057321292E0,-1.641933322E-1,1.228544414E-1,5.744599923E-2
4.068002292E0,-9.144376218E-2,4.105488479E-4,8.449412882E-2
4.078705292E0,-6.622575969E-2,-1.240671948E-1,1.059773192E-1
4.089378292E0,-8.137834817E-2,-1.475695968E-1,1.109848619E-1
4.100046292E0,-1.352100670E-1,-1.129229665E-1,1.067500487E-1
4.110727292E0,-1.891097426E-1,-6.844734401E-2,1.061793268E-1
4.121408292E0,-2.201173753E-1,-4.558537155E-2,1.175025403E-1
4.132089292E0,-2.336383909E-1,-1.683327719E-3,1.164865196E-1
4.142770292E0,-2.386921942E-1,2.271049470E-2,1.104853377E-1
4.153452292E0,-2.329405695E-1,3.872248158E-2,1.080067307E-1
4.164138292E0,-2.216534317E-1,-3.876541741E-3,1.260893047E-1
4.174814292E0,-2.026533633E-1,-9.655188024E-2,1.525475383E-1
4.185495292E0,-1.802101135E-1,-1.904943585E-1,1.643602550E-1
4.196176292E0,-1.581777781E-1,-2.625166178E-1,1.555116326E-1
4.206857292E0,-1.435423791E-1,-3.175700307E-1,1.358101070E-1
4.217520292E0,-1.299337149E-1,-4.033974707E-1,9.904269874E-2
4.228189292E0,-9.998189658E-2,-4.854616821E-1,3.532202914E-2
4.238870292E0,-4.852124676E-2,-6.065976024E-1,-5.789422616E-2
