"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.721148417E0,1.641308022E1,-4.257953644E1,4.803600311E-1
2.731829417E0,1.615842819E1,-4.267914963E1,1.798954010E-1
2.742511417E0,1.587906075E1,-4.278411865E1,-1.088914871E-1
2.753179417E0,1.557855415E1,-4.289260483E1,-4.127578735E-1
2.763859417E0,1.526554585E1,-4.300040817E1,-7.518644333E-1
2.774541417E0,1.494996834E1,-4.310256195E1,-1.142320633E0
2.785222417E0,1.463578224E1,-4.319603729E1,-1.591582298E0
2.795903417E0,1.432078743E1,-4.327972794E1,-2.101735115E0
2.806600417E0,1.400319481E1,-4.335483932E1,-2.627878189E0
2.817259417E0,1.366254902E1,-4.343112946E1,-3.115903854E0
2.827947417E0,1.326486111E1,-4.351980591E1,-3.564625740E0
2.838646417E0,1.281837845E1,-4.361517334E1,-4.005353928E0
2.849309417E0,1.281837845E1,-4.361517334E1,-4.005353928E0
2.859989417E0,1.189934731E1,-4.378322601E1,-4.906312943E0
2.870671417E0,1.141970730E1,-4.386334991E1,-5.313530922E0
2.881353417E0,1.094665623E1,-4.394091797E1,-5.657161713E0
2.892034417E0,1.051407909E1,-4.400912857E1,-5.940352440E0
2.902715417E0,1.020667458E1,-4.404650116E1,-6.194052696E0
2.913396417E0,1.002540874E1,-4.405015564E1,-6.458456039E0
2.924077417E0,9.879489899E0,-4.404067230E1,-6.741807938E0
2.934768417E0,9.726130486E0,-4.403179550E1,-7.017159462E0
2.945455417E0,9.726130486E0,-4.403179550E1,-7.017159462E0
2.956121417E0,9.376974106E0,-4.402938461E1,-7.491533279E0
2.966802417E0,9.182308197E0,-4.403493118E1,-7.697208405E0
2.977483417E0,8.955525398E0,-4.404680634E1,-7.893938065E0
2.988164417E0,8.687909126E0,-4.406345749E1,-8.097472191E0
2.998845417E0,8.355338097E0,-4.408956146E1,-8.302790642E0
3.009526417E0,8.003822327E0,-4.411760330E1,-8.497816086E0
3.020208417E0,7.707482338E0,-4.413623810E1,-8.673195839E0
3.030889417E0,7.423567772E0,-4.415496445E1,-8.824221611E0
3.041572417E0,7.115762711E0,-4.417835236E1,-8.959696770E0
3.052258417E0,6.787281036E0,-4.420449829E1,-9.084705353E0
3.062932417E0,6.430373192E0,-4.423397827E1,-9.200130463E0
3.073613417E0,6.021448135E0,-4.426908875E1,-9.307368279E0
3.084307417E0,5.556362152E0,-4.430976486E1,-9.402578354E0
3.094962458E0,5.055044174E0,-4.435322571E1,-9.480245590E0
3.105648458E0,5.055044174E0,-4.435322571E1,-9.480245590E0
3.116329458E0,4.035731316E0,-4.442551422E1,-9.629292488E0
3.127010458E0,3.605077744E0,-4.444900131E1,-9.691581726E0
3.137691458E0,3.248830795E0,-4.446572113E1,-9.740722656E0
3.148372458E0,2.984482765E0,-4.447593689E1,-9.778594017E0
3.159060458E0,2.813961029E0,-4.448073196E1,-9.807291031E0
3.169718458E0,2.747299194E0,-4.448028564E1,-9.828204155E0
3.180416458E0,2.771889687E0,-4.447800446E1,-9.831643105E0
3.191097458E0,2.830074310E0,-4.447784424E1,-9.815756798E0
3.201768458E0,2.888934135E0,-4.447479630E1,-9.812431335E0
