"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.978833833E0,3.312597871E-1,-2.457307130E-1,-6.910091639E-1
2.989508833E0,2.997762561E-1,-2.182886451E-1,-7.271452546E-1
3.000180833E0,2.772084773E-1,-2.186989188E-1,-7.244960666E-1
3.010865833E0,2.873090506E-1,-1.859785169E-1,-6.211084127E-1
3.021527833E0,3.262346089E-1,-1.216712147E-1,-4.461872876E-1
3.032209833E0,3.199751079E-1,-6.308566034E-2,-2.841642797E-1
3.042890833E0,2.754057646E-1,-4.119282123E-3,-1.557999104E-1
3.053571833E0,2.563921511E-1,1.190655008E-1,-1.790302619E-2
3.064252833E0,2.472391278E-1,2.714406550E-1,6.149565801E-2
3.074933833E0,2.449823767E-1,4.052333236E-1,9.454362839E-2
3.085614833E0,2.294723839E-1,4.942068756E-1,5.587079376E-2
3.096294833E0,1.939013451E-1,5.224291682E-1,-3.742639348E-2
3.106976833E0,1.578347534E-1,5.366910696E-1,-2.013310343E-1
3.117660833E0,1.423948109E-1,5.800206661E-1,-2.838773131E-1
3.128339833E0,1.308161765E-1,6.705662608E-1,-2.799904644E-1
3.139025833E0,7.919533551E-2,7.804656029E-1,-2.172152251E-1
3.149697833E0,1.525590545E-3,8.862910867E-1,-1.505065560E-1
3.160382833E0,-8.417386562E-2,9.353824258E-1,-1.166407317E-1
3.171063833E0,-1.812298298E-1,8.982185721E-1,-1.229193956E-1
3.181745833E0,-2.717221975E-1,7.986373901E-1,-1.305618733E-1
3.192426833E0,-3.461785913E-1,6.565337777E-1,-1.201739460E-1
3.203107833E0,-3.845531344E-1,4.684248567E-1,-1.114552841E-1
3.213788833E0,-3.526082635E-1,2.483068556E-1,-1.108520851E-1
3.224454833E0,-2.919222116E-1,-2.040275140E-3,-1.179045141E-1
3.235134833E0,-2.677495182E-1,-1.770669520E-1,-1.378539950E-1
3.245832833E0,-2.887831628E-1,-3.244852126E-1,-1.353636980E-1
3.256513833E0,-3.373624086E-1,-4.564695954E-1,-1.410719156E-1
3.267194833E0,-3.803463578E-1,-5.614447594E-1,-1.541126221E-1
3.277857833E0,-4.489025176E-1,-6.450757384E-1,-2.130989730E-1
3.288526833E0,-5.456250310E-1,-7.709112167E-1,-2.827801108E-1
3.299207833E0,-6.170544624E-1,-9.220070243E-1,-3.418152034E-1
3.309888833E0,-6.422740817E-1,-1.060074329E0,-3.976920545E-1
3.320569833E0,-6.440469623E-1,-1.251447320E0,-4.161581695E-1
3.331250833E0,-6.476499438E-1,-1.441211820E0,-3.725262582E-1
3.341933833E0,-6.607568860E-1,-1.584202766E0,-2.763955593E-1
3.352618833E0,-6.708444357E-1,-1.646032572E0,-1.485547572E-1
3.363294833E0,-6.903845668E-1,-1.658579469E0,4.030754790E-2
3.373975833E0,-7.081012130E-1,-1.608517051E0,2.389617860E-1
3.384656833E0,-7.131844163E-1,-1.499283552E0,4.570221901E-1
3.395337833E0,-7.250192165E-1,-1.351240873E0,6.289505363E-1
3.406014833E0,-7.580139041E-1,-1.191912174E0,7.061856985E-1
3.416688833E0,-8.046364784E-1,-1.066570640E0,6.825047731E-1
3.427381833E0,-8.477959633E-1,-9.326005578E-1,6.575789452E-1
3.438062833E0,-8.958255053E-1,-7.642173767E-1,6.583083868E-1
3.448743833E0,-9.424492121E-1,-4.977241457E-1,6.627907753E-1
3.459421833E0,-9.926742911E-1,-2.090876549E-1,6.880310774E-1
3.470092833E0,-1.032527447E0,1.190063134E-1,7.229415774E-1
3.480786833E0,-1.017448902E0,4.296976328E-1,7.718327045E-1
3.491468833E0,-9.403868914E-1,8.259128928E-1,8.116229773E-1
3.502149833E0,-8.050585985E-1,1.292656302E0,8.082545996E-1
3.512830833E0,-6.136987805E-1,1.691313148E0,7.518496513E-1
3.523480833E0,-5.132831931E-1,1.976461530E0,6.220631599E-1
3.534162833E0,-5.767788291E-1,1.860152960E0,4.290929139E-1
3.544843833E0,-6.718403697E-1,1.439161301E0,2.093294114E-1
3.555535833E0,-6.727405190E-1,9.146280885E-1,4.196145758E-2
3.566205833E0,-5.550772548E-1,3.248417675E-1,-8.905727416E-2
3.576892833E0,-4.349712729E-1,-1.487600952E-1,-8.120671660E-2
3.587573833E0,-4.013491273E-1,-4.824696183E-1,-2.355007641E-2
3.598249833E0,-3.741188049E-1,-6.532363296E-1,3.680538014E-2
3.608930833E0,-2.288407385E-1,-6.999700069E-1,2.784704231E-2
3.619611833E0,-9.431940503E-3,-7.719347477E-1,-8.541746438E-2
3.630292833E0,1.727410555E-1,-8.711127043E-1,-1.447487026E-1
3.640973833E0,2.211900800E-1,-8.717337847E-1,-1.720607430E-1
3.651654833E0,2.532926500E-1,-7.757249475E-1,-1.905574650E-1
3.662335833E0,3.283216059E-1,-5.809597373E-1,-2.094091773E-1
3.673006833E0,4.421477616E-1,-3.525039256E-1,-2.335166484E-1
3.683679833E0,5.401809216E-1,-1.171586886E-1,-2.890887260E-1
3.694370833E0,5.851361752E-1,1.747556925E-1,-3.720038235E-1
3.705054833E0,5.796958208E-1,3.984135687E-1,-4.580969214E-1
3.715741833E0,5.111825466E-1,5.538928509E-1,-5.046271682E-1
3.726422833E0,4.256730080E-1,6.726472378E-1,-5.023269653E-1
3.737104833E0,3.757534027E-1,7.570182681E-1,-4.116058648E-1
3.747784833E0,3.655928969E-1,8.412258625E-1,-2.580296397E-1
3.758466833E0,3.541580737E-1,9.167030454E-1,-1.239245608E-1
3.769146833E0,3.021356165E-1,8.872599006E-1,-4.521616793E-4
3.779798833E0,2.197829485E-1,7.626261115E-1,7.577097416E-2
3.790479833E0,1.454072595E-1,6.341690421E-1,1.105177701E-1
3.801160833E0,1.111675277E-1,5.321260691E-1,1.485056281E-1
3.811856833E0,8.817945421E-2,4.792072475E-1,1.730390489E-1
3.822533833E0,3.634608909E-2,5.000222325E-1,1.115586236E-1
3.833203833E0,3.468587622E-2,5.160576701E-1,-5.393978953E-2
3.843885833E0,1.189642698E-1,4.671268761E-1,-2.448053360E-1
3.854566833E0,1.916211694E-1,3.762022853E-1,-4.550677836E-1
3.865247833E0,2.501401603E-1,2.937752306E-1,-6.432552934E-1
3.875928833E0,2.973819673E-1,2.326024175E-1,-7.412223816E-1
3.886609833E0,4.030210972E-1,1.861230433E-1,-7.996481657E-1
3.897290833E0,5.284527540E-1,9.856121987E-2,-8.169568777E-1
3.907971833E0,6.193086505E-1,-6.783177704E-2,-8.072009087E-1
3.918653833E0,5.865517855E-1,-1.955681741E-1,-7.656084299E-1
3.929339833E0,4.687444270E-1,-3.280646801E-1,-6.792669296E-1
3.939996833E0,4.110635519E-1,-3.610987961E-1,-5.289586186E-1
3.950688833E0,4.377859831E-1,-3.506970108E-1,-3.198863864E-1
3.961377833E0,4.226549864E-1,-4.267683625E-1,-1.092391312E-1
3.972058833E0,3.452842832E-1,-4.189988375E-1,1.423600763E-1
3.982740833E0,2.892477214E-1,-2.932253480E-1,3.914304972E-1
3.993421833E0,2.794792354E-1,-1.182061657E-1,5.597166419E-1
4.004102833E0,2.472590059E-1,7.294086367E-2,6.272437572E-1
4.014783833E0,1.998078525E-1,1.491325647E-1,5.876902342E-1
4.025464833E0,1.773179919E-1,1.355903894E-1,4.491637945E-1
4.036144833E0,1.866907179E-1,1.026593447E-1,2.664451003E-1
4.046793833E0,2.092897743E-1,7.624051720E-2,1.091492325E-1
4.057481833E0,2.255342603E-1,1.617990881E-1,3.239027411E-2
4.068163833E0,2.886133492E-1,2.843244672E-1,5.496802181E-2
4.078851833E0,3.847561181E-1,4.443029463E-1,9.913548082E-2
