"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.751120396E1,-1.603282690E0,2.337089920E1,-3.154291534E1
6.752188496E1,-1.416767955E0,2.332868576E1,-3.158306885E1
6.753256696E1,-1.347304106E0,2.329170227E1,-3.161339951E1
6.754324996E1,-1.245668411E0,2.327812576E1,-3.162756920E1
6.755392896E1,-1.245668411E0,2.327812576E1,-3.162756920E1
6.756460996E1,-7.769646645E-1,2.331607056E1,-3.161460114E1
6.757530196E1,-3.848354816E-1,2.339593697E1,-3.156275749E1
6.758598296E1,-1.812171936E-2,2.351959991E1,-3.147306442E1
6.759665396E1,4.410340786E-1,2.371459579E1,-3.132330322E1
6.760733496E1,8.729257584E-1,2.396241379E1,-3.112501907E1
6.761804596E1,1.245834827E0,2.426392746E1,-3.087775421E1
6.762872696E1,1.622417331E0,2.463257599E1,-3.056680679E1
6.763939196E1,1.894503951E0,2.504153442E1,-3.021685791E1
6.765007996E1,2.131983757E0,2.547215652E1,-2.983873177E1
6.766077096E1,2.350308418E0,2.590954971E1,-2.944312096E1
6.767145196E1,2.556220770E0,2.635218048E1,-2.903023148E1
6.768213296E1,2.747801781E0,2.680165672E1,-2.859802055E1
6.769280696E1,2.924231768E0,2.726123810E1,-2.814249039E1
6.770348096E1,3.086307526E0,2.773711586E1,-2.765597916E1
6.771417696E1,3.227986097E0,2.822952271E1,-2.713669586E1
6.772485796E1,3.338369131E0,2.873290062E1,-2.658950806E1
6.773553896E1,3.435252190E0,2.924786377E1,-2.600937653E1
6.774621996E1,3.511134148E0,2.977603531E1,-2.539262962E1
6.775690096E1,3.543702602E0,3.031149483E1,-2.474634171E1
6.776758196E1,3.479688883E0,3.084480286E1,-2.408767509E1
6.777826396E1,3.302128315E0,3.136058426E1,-2.343791389E1
6.778894496E1,3.015871525E0,3.185161209E1,-2.280582047E1
6.779962596E1,2.625385523E0,3.231399536E1,-2.219547272E1
6.781032196E1,2.130398273E0,3.272949219E1,-2.163256454E1
