"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.600012417E0,-7.902965698E0,-1.631831589E1,-4.965025177E0
3.609778417E0,-6.930737457E0,-1.885164780E1,1.230890350E0
3.619544417E0,-3.422183533E0,-1.800096680E1,2.549198914E0
3.629337417E0,-6.604865112E0,-1.718725891E1,-7.453001404E-1
3.639104417E0,-1.144669647E1,-1.858520187E1,2.469863892E-2
3.648871417E0,-1.893801819E1,-1.726389954E1,5.827381897E0
3.658636417E0,-2.510190033E1,-1.630574203E1,4.334236908E0
3.668402417E0,-2.690654755E1,-1.833162918E1,1.356628876E1
3.678168417E0,-1.437341034E1,-2.219898697E1,1.076366684E1
3.687933417E0,-7.385791168E0,-2.495640289E1,4.307292938E0
3.697707417E0,-8.588540039E0,-2.295296906E1,3.278632050E0
3.707464417E0,-1.184636536E1,-2.123020157E1,5.287604370E0
3.717261417E0,-1.331151855E1,-1.971939331E1,6.693181458E0
3.727026417E0,-1.436862030E1,-2.008613068E1,6.067033539E0
3.736792417E0,-1.459988937E1,-2.007610153E1,7.193141785E0
3.746558417E0,-1.348800156E1,-1.987417145E1,7.589816895E0
3.756317417E0,-1.181972076E1,-2.083307739E1,7.510032806E0
3.766090417E0,-1.134490814E1,-2.061557968E1,4.631219330E0
3.775854417E0,-1.073013657E1,-1.915806061E1,4.330345001E0
3.785620417E0,-1.074765015E1,-1.636561752E1,3.954027557E0
3.795417417E0,-9.928254089E0,-1.345626755E1,3.499422913E0
3.805182417E0,-8.165968781E0,-1.038705002E1,3.169209595E0
3.814955417E0,-6.041287079E0,-7.539970551E0,2.173180847E0
3.824713417E0,-3.917503510E0,-5.867199097E0,8.388555908E-1
3.834479417E0,-2.469863892E0,-4.452341309E0,-3.327580261E-1
3.844235417E0,-1.248703308E0,-2.933749237E0,-7.557783508E-1
3.854004417E0,-7.487429810E-1,-1.160087585E0,-4.751119995E-1
3.863776417E0,-5.688171387E-1,4.203259277E-1,1.672023010E-1
3.873568417E0,2.065704346E-2,1.847907257E0,1.379680939E0
3.883338417E0,9.169931030E-1,3.168012085E0,2.204016724E0
3.893085417E0,1.387165375E0,3.753594360E0,1.723665619E0
3.902855417E0,2.179168396E0,3.737278290E0,1.168919220E0
3.912651417E0,2.901566162E0,3.222498779E0,7.590715027E-1
