"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.343366417E0,2.603772283E-1,-8.772502840E-2,4.713789821E-1
2.354047417E0,1.756788492E-1,-1.280354261E-1,5.148646832E-1
2.364728417E0,5.307783186E-2,-1.701272279E-1,5.672857761E-1
2.375409417E0,-6.366129965E-2,-2.307050824E-1,5.904081464E-1
2.386090417E0,-1.476592571E-1,-3.170612752E-1,5.279370546E-1
2.396784417E0,-2.369776517E-1,-3.755200207E-1,4.339109659E-1
2.407450417E0,-3.179664910E-1,-3.980138302E-1,3.824373782E-1
2.418139417E0,-3.722245991E-1,-4.196234941E-1,3.988322616E-1
2.428817417E0,-4.296717644E-1,-4.558953345E-1,4.359264076E-1
2.439496417E0,-4.720796943E-1,-4.686846435E-1,4.595044255E-1
2.450177417E0,-5.013065338E-1,-4.178270400E-1,4.367605150E-1
2.460858417E0,-5.344479680E-1,-3.561783433E-1,3.872946799E-1
2.471539417E0,-5.565005541E-1,-3.360435069E-1,3.352229595E-1
2.482221417E0,-5.864744186E-1,-3.466247916E-1,2.917220891E-1
2.492902417E0,-6.006222367E-1,-3.727160394E-1,2.735891640E-1
2.503583417E0,-5.717016459E-1,-4.065144658E-1,2.817506790E-1
2.514292417E0,-5.385007858E-1,-4.072441459E-1,2.752981186E-1
2.524967417E0,-5.166585445E-1,-3.777794838E-1,2.288400680E-1
2.535657417E0,-5.282462239E-1,-3.477581143E-1,1.632759273E-1
2.546338417E0,-5.667195320E-1,-3.561462760E-1,1.016136259E-1
2.556995417E0,-5.861522555E-1,-3.580723107E-1,4.945103824E-2
2.567700417E0,-5.610758662E-1,-3.287977576E-1,-3.355813026E-2
2.578382417E0,-5.071535110E-1,-2.366875261E-1,-1.387191713E-1
2.589063417E0,-4.458340108E-1,-1.195542514E-1,-1.855074465E-1
2.599744417E0,-4.391438663E-1,2.632572316E-2,-2.000134140E-1
2.610425417E0,-4.967032969E-1,1.685952544E-1,-2.320738733E-1
2.621106417E0,-5.873109698E-1,2.783635557E-1,-2.784152925E-1
2.631783417E0,-6.273665428E-1,3.388204575E-1,-3.058974445E-1
2.642468417E0,-6.013408303E-1,3.354664743E-1,-3.207940757E-1
2.653150417E0,-5.608676672E-1,3.040881157E-1,-3.456206620E-1
2.663831417E0,-5.235828757E-1,2.544087172E-1,-3.497419059E-1
2.674511417E0,-5.023190975E-1,1.629230082E-1,-3.342617452E-1
2.685192417E0,-4.885731637E-1,1.142508090E-1,-3.137791157E-1
2.695887417E0,-4.623475373E-1,7.303760387E-3,-4.237411916E-1
2.706555417E0,-4.508035481E-1,-1.745378412E-2,-4.884080589E-1
2.717237417E0,-4.416009784E-1,-2.329863928E-4,-5.018777847E-1
2.727918417E0,-4.276731908E-1,-7.964392006E-2,-4.960398972E-1
2.738607417E0,-3.890926242E-1,-1.539230794E-1,-5.160280466E-1
2.749289417E0,-3.301408589E-1,-1.569795609E-1,-5.665850639E-1
2.759992417E0,-2.785812318E-1,-4.019776732E-2,-6.424785256E-1
2.770673417E0,-2.083754987E-1,1.359088123E-1,-6.905115843E-1
2.781354417E0,-1.355614811E-1,2.612369061E-1,-6.388254762E-1
2.792035417E0,-9.663113207E-2,3.777765632E-1,-5.356554389E-1
2.802715417E0,-1.114878356E-1,5.277615786E-1,-4.330704212E-1
2.813397417E0,-1.456210464E-1,6.747574210E-1,-3.643576801E-1
2.824089417E0,-1.284527183E-1,7.980660200E-1,-2.962380052E-1
2.834762417E0,-1.256259345E-2,9.181628823E-1,-2.146030515E-1
2.845441417E0,1.446933448E-1,9.927356839E-1,-7.505342364E-2
2.856109417E0,2.106818557E-1,9.396223426E-1,7.143164426E-2
2.866814417E0,2.154608965E-1,7.623963952E-1,1.368953437E-1
2.877484417E0,1.945066601E-1,5.146425962E-1,1.660430431E-1
2.888159417E0,1.780227572E-1,2.963960469E-1,1.976110935E-1
2.898847417E0,1.965905875E-1,1.524002552E-1,2.495736331E-1
2.909528417E0,2.621584237E-1,1.561289430E-1,2.817198634E-1
2.920209417E0,3.727584481E-1,2.720347941E-1,2.988977730E-1
2.930890417E0,4.872266948E-1,4.688647687E-1,3.100436330E-1
2.941571417E0,5.540485382E-1,6.425781846E-1,2.790854573E-1
2.952268417E0,5.504119992E-1,7.477999330E-1,2.585588694E-1
2.962934417E0,5.091565251E-1,8.181085587E-1,2.408389747E-1
2.973624417E0,4.758457541E-1,8.533365726E-1,2.741114199E-1
2.984326417E0,4.819148481E-1,8.383557796E-1,4.030472934E-1
2.995008417E0,5.468754768E-1,7.939803600E-1,5.763351321E-1
3.005689417E0,6.538365483E-1,7.172677517E-1,7.612937689E-1
3.016370417E0,7.138237357E-1,6.130068898E-1,9.735147357E-1
3.027051417E0,7.294375896E-1,4.332400560E-1,1.183699846E0
3.037732417E0,7.269941568E-1,2.205296606E-1,1.460989356E0
3.048413417E0,7.340887785E-1,-8.745239675E-2,1.766055226E0
3.059094417E0,7.338219285E-1,-3.076843619E-1,2.012882471E0
3.069776417E0,6.626548171E-1,-4.218868315E-1,2.155939341E0
3.080470417E0,5.261427760E-1,-4.787754118E-1,2.229187965E0
3.091124417E0,3.888878524E-1,-6.168604493E-1,2.259746790E0
3.101819417E0,3.322450817E-1,-7.710231543E-1,2.256535292E0
3.112500417E0,3.125861585E-1,-7.656560540E-1,2.189813375E0
3.123181417E0,1.474877298E-1,-4.664760530E-1,1.868219018E0
3.133862417E0,-5.418414250E-2,4.147395026E-3,1.241720796E0
3.144544417E0,-1.613382846E-1,4.611354470E-1,5.460038185E-1
3.155225417E0,-3.096172214E-1,9.726405740E-1,2.232601047E-1
3.165906417E0,-4.644454122E-1,9.973070621E-1,7.041304559E-2
3.176587417E0,-3.870302439E-1,6.492190957E-1,-2.984408736E-1
3.187268417E0,-1.460829079E-1,7.504684925E-1,-5.918780565E-1
3.197968417E0,4.934502020E-2,1.079167843E0,-6.715378761E-1
3.208639417E0,2.304527611E-1,1.020819664E0,-6.711671352E-1
3.219318417E0,3.797695935E-1,5.646327138E-1,-6.964810491E-1
3.230016417E0,6.161171794E-1,3.047356904E-1,-7.249537110E-1
3.240705417E0,9.363559484E-1,3.223815560E-1,-8.806056976E-1
3.251389417E0,1.035104394E0,1.688703448E-1,-1.165477753E0
3.262067417E0,8.006205559E-1,-3.288576603E-1,-1.524989843E0
3.272748417E0,7.212607861E-1,-7.737421989E-1,-1.873975277E0
3.283429417E0,8.946707249E-1,-7.941081524E-1,-2.099600315E0
3.294110417E0,9.851769209E-1,-5.311332941E-1,-2.036990404E0
3.304791417E0,9.696860909E-1,-2.090771794E-1,-1.678586721E0
3.315476417E0,9.808042645E-1,1.236514747E-1,-1.254735947E0
3.326154417E0,1.006716251E0,3.631599545E-1,-8.761945963E-1
3.336835417E0,9.969359040E-1,5.115209222E-1,-4.766767621E-1
3.347509417E0,9.930911064E-1,6.319279075E-1,-2.403590977E-1
3.358197417E0,1.031130910E0,6.881552339E-1,-1.725491881E-1
3.368878417E0,1.064836383E0,6.519905329E-1,-1.632259935E-1
